row_id,order_id,order_date,ship_date,"Ship Mode",cust_id,cust_name,segment,country_region,city,state_province,post_code,region,product_id,category,sub_category,sales,qty,discount,profit
1,US-2023-103800,2023-01-03,2023-01-07,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States",Houston,Texas,77095,Central,OFF-PA-10000174,"Office Supplies",Paper,16.45,2.00,0.20,5.55
2,US-2023-112326,2023-01-04,2023-01-08,"Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-BI-10004094,"Office Supplies",Binders,3.54,2.00,0.80,-5.49
3,US-2023-112326,2023-01-04,2023-01-08,"Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-LA-10003223,"Office Supplies",Labels,11.78,3.00,0.20,4.27
4,US-2023-112326,2023-01-04,2023-01-08,"Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-ST-10002743,"Office Supplies",Storage,272.74,3.00,0.20,-64.77
5,US-2023-141817,2023-01-05,2023-01-12,"Standard Class",MB-18085,"Mick Brown",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,"Office Supplies",Art,19.54,3.00,0.20,4.88
6,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,2573.82,9.00,0.00,746.41
7,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-AR-10001662,"Office Supplies",Art,5.48,2.00,0.00,1.48
8,US-2023-106054,2023-01-06,2023-01-07,"First Class",JO-15145,"Jack O'Briant",Corporate,"United States",Athens,Georgia,30605,South,OFF-AR-10002399,"Office Supplies",Art,12.78,3.00,0.00,5.24
9,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-BI-10004632,"Office Supplies",Binders,609.98,2.00,0.00,274.49
10,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-FA-10001883,"Office Supplies",Fasteners,31.12,4.00,0.00,0.31
11,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-PA-10000955,"Office Supplies",Paper,6.54,1.00,0.00,3.01
12,US-2023-130813,2023-01-06,2023-01-08,"Second Class",LS-17230,"Lycoris Saunders",Consumer,"United States","Los Angeles",California,90049,West,OFF-PA-10002005,"Office Supplies",Paper,19.44,3.00,0.00,9.33
13,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,755.96,4.00,0.00,204.11
14,US-2023-167199,2023-01-06,2023-01-10,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,391.98,2.00,0.00,113.67
15,US-2023-105417,2023-01-07,2023-01-12,"Standard Class",VS-21820,"Vivek Sundaresam",Consumer,"United States",Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,76.73,3.00,0.60,-53.71
16,US-2023-105417,2023-01-07,2023-01-12,"Standard Class",VS-21820,"Vivek Sundaresam",Consumer,"United States",Huntsville,Texas,77340,Central,OFF-BI-10003708,"Office Supplies",Binders,10.43,7.00,0.80,-18.25
17,US-2023-135405,2023-01-09,2023-01-13,"Standard Class",MS-17830,"Melanie Seite",Consumer,"United States",Laredo,Texas,78041,Central,OFF-AR-10004078,"Office Supplies",Art,9.34,2.00,0.20,1.17
18,US-2023-135405,2023-01-09,2023-01-13,"Standard Class",MS-17830,"Melanie Seite",Consumer,"United States",Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,31.20,3.00,0.20,9.75
19,US-2023-149020,2023-01-10,2023-01-15,"Standard Class",AJ-10780,"Anthony Jacobs",Corporate,"United States",Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,51.94,1.00,0.00,21.30
20,US-2023-149020,2023-01-10,2023-01-15,"Standard Class",AJ-10780,"Anthony Jacobs",Corporate,"United States",Springfield,Virginia,22153,South,OFF-LA-10004272,"Office Supplies",Labels,2.89,1.00,0.00,1.36
21,US-2023-130092,2023-01-11,2023-01-14,"First Class",SV-20365,"Seth Vernon",Consumer,"United States",Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,9.94,2.00,0.00,3.08
22,US-2023-157147,2023-01-13,2023-01-18,"Standard Class",BD-11605,"Brian Dahlen",Consumer,"United States","San Francisco",California,94109,West,FUR-BO-10003034,Furniture,Bookcases,334.00,3.00,0.15,3.93
23,US-2023-109232,2023-01-13,2023-01-16,"Second Class",ND-18370,"Natalie DeCherney",Consumer,"United States","Mount Pleasant","South Carolina",29464,South,FUR-CH-10000422,Furniture,Chairs,545.94,6.00,0.00,87.35
24,US-2023-157147,2023-01-13,2023-01-18,"Standard Class",BD-11605,"Brian Dahlen",Consumer,"United States","San Francisco",California,94109,West,OFF-AR-10003514,"Office Supplies",Art,19.90,5.00,0.00,6.57
25,US-2023-118192,2023-01-13,2023-01-18,"Standard Class",MM-17920,"Michael Moore",Consumer,"United States",Newark,Ohio,43055,East,OFF-BI-10003476,"Office Supplies",Binders,3.44,2.00,0.70,-2.52
26,US-2023-162775,2023-01-13,2023-01-15,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-BI-10004187,"Office Supplies",Binders,5.64,3.00,0.00,2.71
27,US-2023-162775,2023-01-13,2023-01-15,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-EN-10001532,"Office Supplies",Envelopes,50.94,3.00,0.00,25.47
28,US-2023-162775,2023-01-13,2023-01-15,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-EN-10001990,"Office Supplies",Envelopes,11.36,2.00,0.00,5.34
